Model,Total_SynOps,Total_MACs,Sparsity_%,Energy_SNN_uJ,Energy_ANN_uJ,Energy_Reduction_Factor,Energy_per_Inference_uJ
Model_1_No_SCL,6495671.0,413840000,98.43039073071719,5.846103899999999,1903.6639999999998,325.6295188321918,0.0036538149374999995
Model_2_SCL,6265547.0,413840000,98.48599772859076,5.638992300000001,1903.6639999999998,337.5893951832492,0.0035243701875000005
Model_4_HGRN,3520541.0,413856000,99.1493318932189,3.1684869,1903.7375999999997,600.8349284953647,0.0019803043125000003
