Model,Visual_NMNIST_%,Auditory_SHD_%,Average_%,Delta_Visual_vs_M2,Delta_Audio_vs_M2,SCL_Used,Feature_Similarity
Model 1 (No SCL),96.76999999999032,80.0353356890106,88.40266784450046,0.04999999999999716,-2.1201413427552325,No,
Model 2 (+SCL),96.71999999999032,82.15547703176583,89.43773851587807,0.0,0.0,Yes,
Model 3 (+Hopfield),97.67999999999023,76.1484098939593,86.91420494697476,0.9599999999999085,-6.00706713780653,Yes,
Model 4 (+HGRN),97.47999999999026,80.07950530031799,88.77975265015412,0.7599999999999341,-2.0759717314478365,Yes,0.017226802
Model 5 (Full Hybrid),97.57999999999024,76.94346289749252,87.26173144874139,0.8599999999999142,-5.2120141342733035,Yes,
