Model,Total_SynOps,Total_MACs,Sparsity_%,Energy_SNN_uJ,Energy_ANN_uJ,Energy_Reduction_Factor,Energy_per_Inference_uJ
Model_1_No_SCL,57591703.0,1468335000,96.07775453149316,51.832532699999994,6754.340999999999,130.31084240265187,0.1963353511363636
Model_2_SCL,46531937.0,1468335000,96.8309727003715,41.878743300000004,6754.340999999999,161.28327804908128,0.1586316034090909
Model_4_HGRN,14107861.0,1468337904,99.03919520421233,12.697074899999999,6754.3543584,531.9614487270608,0.04809498068181818
